0,"The premium-priced phone makes a strong case to make the switch, but its size and difficult to use keyboard are among its drawbacks. Three men allowed themselves.",http://www.nytimes.com/2014/09/25/technology/personaltech/blackberry-passport-review.html
1,The three men turned themselves in to the French authorities after a mix-up allowed them to walk free.,http://www.nytimes.com/2014/09/25/world/europe/french-islamic-militant-suspects-expelled-by-turkey.html
2,"The company, whose chief executive, John S. Chen, arrived in November, is hoping that the new Passport phone will put BlackBerry back on the board, even if only modestly.",http://www.nytimes.com/2014/09/25/technology/under-new-leadership-blackberry-unveils-its-newest-smartphone.html
3,"Worn by French ing&#233;nues, literary rebels or political heavyweights, the perfect bangs &#8212; long and full of mystery &#8212; are enough to make anyone pick up the shears.",http://tmagazine.blogs.nytimes.com/2014/09/24/bangs-beauty-trend/
4,The photographer Greg Kessler captures behind-the-scenes beauty transformations during Spring 2015 Fashion Week in Paris.,http://tmagazine.blogs.nytimes.com/2014/09/24/paris-fashion-week-spring-2015-cedric-charlier-model-bhumika-arora-transforms/
5,"Metropolitan Diary: He had never stared at the dark-haired woman in a nearby building, never spoken to her, but the new emptiness was a kind of loss.",http://cityroom.blogs.nytimes.com/2014/09/24/a-suddenly-vacant-apartment/
6,Regulators are looking into whether Pimco inflated the returns of an actively traded $3.6 billion exchange traded fund that mirrors the bond giant&#8217;s flagship fund.,http://dealbook.nytimes.com/2014/09/24/s-e-c-is-examining-pimco-exchange-traded-fund/
7,Highlights from the International Herald Tribune archives: German troops are moving in the Belgian towns of Antwerp and Liege in 1914.,http://iht-retrospective.blogs.nytimes.com/2014/09/24/1914-germans-bring-up-guns/
8,Wall Street investors are bankrolling A.I.G.&#8217;s former chief executive in his suit over the government&#8217;s bailout. &#124; New inversion rules may lack bite. &#124; Citizens Financial Group is making its public market debut. &#124; In defense of hedge funds.,http://dealbook.nytimes.com/2014/09/24/morning-agenda-wall-st-helps-out-a-i-g-s-ex-chief/
9,"At Maiyet, the trend has been turned into a short film directed and choreographed by Benjamin Millepied, the Paris Op&#233;ra Ballet&#8217;s incoming director.",http://runway.blogs.nytimes.com/2014/09/24/maiyet-film-for-paris-fashion-week-directed-by-benjamin-millepied/
